boot,minute,raw,pct
4,242,1,2042,77.45
4,243,1,2044,77.48
4,244,1,2042,77.44
4,245,1,2050,77.47
4,246,1,2044,77.43
4,247,1,2040,77.48
4,248,1,2052,77.51
4,249,1,2044,77.47
4,250,1,2050,77.45
4,251,1,2042,77.52
4,252,1,2042,77.54
4,253,1,2042,77.51
4,254,1,2042,77.54
4,255,1,2040,77.58
4,256,1,2042,77.59
4,257,1,2042,77.55
4,258,1,2040,77.56
4,259,1,2042,77.54
4,260,1,2042,77.53
4,261,1,2050,77.58
4,262,1,2054,77.58
4,263,1,2040,77.59
4,264,1,2038,77.56
4,265,1,2044,77.62
4,266,1,2042,77.64
4,267,1,2044,77.61
4,268,1,2050,77.64
4,269,1,2050,77.63
4,270,1,2040,77.63
4,271,1,2040,77.61
4,272,1,2042,77.63
4,273,1,2050,77.60
4,274,1,2040,77.64
4,275,1,2040,77.64
4,276,1,2040,77.61
4,277,1,2040,77.63
4,278,1,2038,77.66
4,279,1,2042,77.64
4,280,1,2042,77.65
4,281,1,2050,77.65
4,282,1,2040,77.68
4,283,1,2040,77.68
4,284,1,2040,77.68
4,285,1,2042,77.69
4,286,1,2038,77.69
4,287,1,2042,77.69
4,288,1,2038,77.70
4,289,1,2050,77.70
4,290,1,2040,77.75
4,291,1,2040,77.71
4,292,1,2040,77.72
4,293,1,2042,77.72
4,294,1,2040,77.73
4,295,1,2042,77.73
4,296,1,2040,77.75
4,297,1,2034,77.74
4,298,1,2040,77.76
4,299,1,2038,77.76
4,300,1,2038,77.72
4,301,1,2036,77.77
4,302,1,2040,77.74
4,303,1,2040,77.75
4,304,1,2038,77.78
4,305,1,2036,77.77
4,306,1,2040,77.76
4,307,1,2042,77.78
4,308,1,2036,77.77
4,309,1,2038,77.79
4,310,1,2040,77.79
4,311,1,2036,77.77
4,312,1,2038,77.78
4,313,1,2036,77.78
4,314,1,2040,77.81
4,315,1,2040,77.80
4,316,1,2040,77.80
4,317,1,2036,77.80
4,318,1,2040,77.79
4,319,1,2042,77.82
4,320,1,2040,77.81
4,321,1,2040,77.80
4,322,1,2038,77.80
4,323,1,2036,77.82
4,324,1,2038,77.83
4,325,1,2038,77.82
4,326,1,2040,77.83
4,327,1,2042,77.82
4,328,1,2036,77.83
4,329,1,2038,77.83
4,330,1,2038,77.85
4,331,1,2038,77.82
4,332,1,2038,77.83
4,333,1,2036,77.84
4,334,1,2034,77.85
4,335,1,2036,77.86
4,336,1,2036,77.87
4,337,1,2038,77.86
4,338,1,2038,77.85
4,339,1,2040,77.87
4,340,1,2036,77.87
4,341,1,2036,77.88
4,342,1,2036,77.86
4,343,1,2040,77.88
4,344,1,2040,77.87
4,345,1,2040,77.87
4,346,1,2036,77.87
4,347,1,2038,77.88
4,348,1,2038,77.86
4,349,1,2038,77.86
4,350,1,2040,77.87
4,351,1,2034,77.88
4,352,1,2036,77.90
4,353,1,2038,77.90
4,354,1,2036,77.92
4,355,1,2036,77.91
4,356,1,2036,77.91
4,357,1,2034,77.91
4,358,1,2034,77.93
4,359,1,2036,77.92
4,360,1,2034,77.94
4,361,1,2038,77.92
4,362,1,2034,77.92
4,363,1,2034,77.92
4,364,1,2038,77.94
4,365,1,2036,77.94
4,366,1,2038,77.94
4,367,1,2036,77.93
4,368,1,2036,77.93
4,369,1,2034,77.96
4,370,1,2038,77.93
4,371,1,2040,77.94
4,372,1,2034,77.95
4,373,1,2034,77.96
4,374,1,2034,77.97
4,375,1,2036,77.95
4,376,1,2038,77.96
4,377,1,2036,77.98
4,378,1,2034,77.95
4,379,1,2030,77.97
4,380,1,2034,77.98
4,381,1,2036,77.94
4,382,1,2034,77.99
4,383,1,2032,77.97
4,384,1,2036,77.98
4,385,1,2034,77.97
4,386,1,2038,77.97
4,387,1,2034,77.99
4,388,1,2034,77.99
4,389,1,2038,77.98
4,390,1,2038,77.99
4,391,1,2032,77.97
4,392,1,2034,77.99
4,393,1,2038,77.97
4,394,1,2034,78.02
4,395,1,2034,78.00
4,396,1,2036,78.00
4,397,1,2034,78.02
4,398,1,2036,78.02
4,399,1,2034,78.01
4,400,1,2036,78.01
4,401,1,2032,78.00
4,402,1,2034,78.03
4,403,1,2034,78.01
4,404,1,2036,78.01
4,405,1,2036,78.03
4,406,1,2032,78.05
4,407,1,2034,78.03
4,408,1,2034,78.02
4,409,1,2032,78.04
4,410,1,2038,78.02
4,411,1,2038,78.04
4,412,1,2030,78.04
4,413,1,2038,78.04
4,414,1,2032,78.05
4,415,1,2034,78.04
4,416,1,2032,78.05
4,417,1,2032,78.05
4,418,1,2032,78.07
4,419,1,2034,78.07
4,420,1,2032,78.05
4,421,1,2032,78.08
4,422,1,2030,78.05
4,423,1,2032,78.05
4,424,1,2030,78.06
4,425,1,2034,78.07
4,426,1,2032,78.11
4,427,1,2036,78.09
4,428,1,2032,78.08
4,429,1,2032,78.10
4,430,1,2038,78.09
4,431,1,2032,78.11
4,432,1,2028,78.10
4,433,1,2030,78.11
4,434,1,2028,78.11
4,435,1,2034,78.12
4,436,1,2030,78.11
4,437,1,2032,78.12
4,438,1,2034,78.15
4,439,1,2032,78.13
4,440,1,2032,78.11
4,441,1,2032,78.12
4,442,1,2028,78.12
4,443,1,2030,78.13
4,444,1,2032,78.12
4,445,1,2034,78.13
4,446,1,2030,78.14
4,447,1,2028,78.17
4,448,1,2030,78.13
4,449,1,2032,78.16
4,450,1,2032,78.16
4,451,1,2032,78.16
4,452,1,2032,78.15
4,453,1,2030,78.13
4,454,1,2034,78.15
4,455,1,2030,78.17
4,456,1,2030,78.17
4,457,1,2030,78.16
4,458,1,2036,78.16
4,459,1,2032,78.18
4,460,1,2032,78.17
4,461,1,2030,78.16
4,462,1,2028,78.18
4,463,1,2032,78.17
4,464,1,2030,78.19
4,465,1,2030,78.18
4,466,1,2030,78.21
4,467,1,2030,78.19
4,468,1,2030,78.19
4,469,1,2028,78.20
4,470,1,2032,78.22
4,471,1,2032,78.19
4,472,1,2028,78.21
4,473,1,2028,78.19
4,474,1,2028,78.20
4,475,1,2028,78.22
4,476,1,2032,78.24
4,477,1,2028,78.23
4,478,1,2026,78.24
4,479,1,2030,78.24
4,480,1,2028,78.25
4,481,1,2030,78.26
4,482,1,2028,78.27
4,483,1,2028,78.28
4,484,1,2028,78.30
4,485,1,2028,78.28
4,486,1,2030,78.29
4,487,1,2026,78.30
4,488,1,2030,78.34
4,489,1,2024,78.32
4,490,1,2028,78.34
4,491,1,2026,78.34
4,492,1,2026,78.36
4,493,1,2030,78.38
4,494,1,2026,78.41
4,495,1,2026,78.39
4,496,1,2028,78.40
4,497,1,2024,78.39
4,498,1,2026,78.42
4,499,1,2022,78.44
4,500,1,2026,78.43
4,501,1,2024,78.42
4,502,1,2024,78.45
4,503,1,2026,78.46
4,504,1,2024,78.49
4,505,1,2024,78.48
4,506,1,2022,78.49
4,507,1,2022,78.48
4,508,1,2024,78.48
4,509,1,2026,78.50
4,510,1,2024,78.53
4,511,1,2024,78.53
4,512,1,2020,78.54
4,513,1,2022,78.57
4,514,1,2020,78.61
4,515,1,2020,78.63
4,516,1,2018,78.62
4,517,1,2020,78.63
4,518,1,2018,78.65
4,519,1,2022,78.67
4,520,1,2018,78.68
4,521,1,2020,78.67
4,522,1,2018,78.65
4,523,1,2020,78.68
4,524,1,2018,78.67
4,525,1,2020,78.66
4,526,1,2020,78.62
4,527,1,2022,78.59
4,528,1,2022,78.58
4,529,1,2022,78.57
4,530,1,2022,78.48
4,531,1,2026,78.47
4,532,1,2022,78.48
4,533,1,2024,78.46
4,534,1,2024,78.48
4,535,1,2022,78.47
4,536,1,2024,78.49
4,537,1,2022,78.51
4,538,1,2022,78.52
4,539,1,2020,78.55
4,540,1,2026,78.56
4,541,1,2024,78.58
4,542,1,2022,78.59
4,543,1,2020,78.58
4,544,1,2020,78.64
4,545,1,2018,78.72
4,546,1,2018,78.63
4,547,1,2022,78.61
4,548,1,2020,78.62
4,549,1,2022,78.66
4,550,1,2020,78.68
4,551,1,2018,78.69
4,552,1,2016,78.73
4,553,1,2016,78.76
4,554,1,2018,78.77
4,555,1,2018,78.76
4,556,1,2018,78.77
4,557,1,2016,78.79
4,558,1,2016,78.82
4,559,1,2012,78.85
4,560,1,2010,78.99
4,561,1,1992,79.85
4,562,1,1992,79.76
4,563,1,1978,80.43
4,564,1,1990,80.26
4,565,1,1988,80.04
4,566,1,1988,80.08
4,567,1,1984,80.34
4,568,1,1980,80.64
4,569,1,1978,80.60
4,570,1,1982,80.58
4,571,1,1980,80.53
4,572,1,1984,80.50
4,573,1,1984,80.31
4,574,1,2000,80.07
4,575,1,2014,79.28
4,576,1,2022,78.78
4,577,1,2020,78.64
4,578,1,2022,78.55
4,579,1,2022,78.53
4,580,1,2022,78.55
4,581,1,2026,78.55
4,582,1,2022,78.60
4,583,1,2020,78.66
4,584,1,2018,78.74
4,585,1,2016,78.85
4,586,1,2012,78.99
4,587,1,2002,79.20
4,588,1,1986,80.32
4,589,1,1974,80.36
4,590,1,2008,80.08
4,591,1,2012,79.11
4,592,1,2010,78.97
4,593,1,2016,79.01
4,594,1,2006,79.14
4,595,1,2006,79.30
4,596,1,2012,79.25
4,597,1,2014,79.01
4,598,1,2008,79.12
4,599,1,2010,79.17
4,600,1,2008,79.37
4,601,1,2010,79.19
4,602,1,2008,79.15
4,603,1,2010,79.22
4,604,1,2008,79.48
4,605,1,2016,78.83
4,606,1,2020,78.68
4,607,1,2022,78.60
4,608,1,2022,78.57
4,609,1,2022,78.59
4,610,1,2022,78.60
4,611,1,2020,78.58
4,612,1,2022,78.58
4,613,1,2020,78.65
4,614,1,2018,78.66
4,615,1,2018,78.71
4,616,1,2020,78.80
4,617,1,2014,78.93
4,618,1,2014,78.78
4,619,1,2018,78.85
4,620,1,2014,78.87
4,621,1,2016,78.84
4,622,1,2020,78.83
4,623,1,2018,78.93
4,624,1,2016,78.87
4,625,1,2018,78.91
4,626,1,2018,78.97
4,627,1,2014,78.97
4,628,1,2016,79.02
4,629,1,2010,79.05
4,630,1,2010,79.11
4,631,1,2014,79.01
4,632,1,2012,79.06
4,633,1,2008,79.13
4,634,1,2006,79.35
4,635,1,1996,79.40
4,636,1,2006,79.72
4,637,1,2006,79.23
4,638,1,2004,79.33
4,639,1,2006,79.29
4,640,1,2002,79.36
4,641,1,2010,79.39
4,642,1,2014,79.16
4,643,1,2012,79.09
4,644,1,2026,78.46
4,645,1,2024,78.43
4,646,1,2018,78.62
4,647,1,2016,78.52
4,648,1,2020,78.70
4,649,1,2024,78.55
4,650,1,2026,78.38
4,651,1,2026,78.39
4,652,1,2024,78.42
4,653,1,2026,78.49
4,654,1,2026,78.39
4,655,1,2028,78.41
4,656,1,2026,78.41
4,657,1,2024,78.42
4,658,1,2020,78.68
4,659,1,2022,78.63
4,660,1,2024,78.54
4,661,1,2024,78.47
4,662,1,2026,78.35
4,663,1,2026,78.34
4,664,1,2028,78.36
4,665,1,2024,78.42
4,666,1,2022,78.54
4,667,1,2026,78.51
4,668,1,2022,78.56
4,669,1,2020,78.56
4,670,1,2018,78.66
4,671,1,2020,78.65
4,672,1,2016,78.69
4,673,1,2020,78.71
4,674,1,2018,78.70
4,675,1,2018,78.68
4,676,1,2020,78.66
4,677,1,2018,78.68
4,678,1,2018,78.71
4,679,1,2022,78.75
4,680,1,2016,78.81
4,681,1,2016,78.83
4,682,1,2014,78.91
4,683,1,2018,78.87
4,684,1,2014,78.98
4,685,1,2014,79.02
4,686,1,2016,78.93
4,687,1,2014,79.01
4,688,1,2014,79.00
4,689,1,2014,79.00
4,690,1,2012,79.02
4,691,1,2012,78.94
4,692,1,2016,78.89
